"","Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"218","P49312","Hnrnpa1",NA,NA,-0.096,-0.031,-0.285,0.147,-0.185,0.047,0.22,-0.185,-0.293
"219","P16401","H1-5",NA,NA,-0.388,0.385,0.212,0.137,-0.063,0.33,0.439,-0.205,0.201
"220","P43276","H1-5",NA,NA,-0.388,0.385,0.212,0.137,-0.063,0.33,0.439,-0.205,0.201
"221","P19338","NCL",NA,NA,-0.148,-0.401,-0.485,0.038,-0.239,-0.403,-0.305,-0.27,-0.096
"222","Q00839","HNRNPU",NA,NA,-0.603,-3.294,-4.281,-0.645,-2.864,-2.796,-0.698,-0.36,-4.749
"223","P04406","GAPDH",NA,NA,-0.528,1.894,1.505,0.378,2.092,1.959,-0.016,0.057,1.148
"224","P16858","Gapdh",NA,NA,-0.528,1.894,1.505,0.378,2.092,1.959,-0.016,0.057,1.148
"225","P04406","GAPDH",NA,NA,-0.253,0.826,0.565,0.255,1.037,1.09,0.03,0.116,0.902
"226","P16858","Gapdh",NA,NA,-0.253,0.826,0.565,0.255,1.037,1.09,0.03,0.116,0.902
"227","P10412","H1-4",NA,NA,-0.289,-0.264,-0.616,0.075,-1.044,-0.081,0.129,-0.165,-0.519
"228","P43277","H1-3",NA,NA,-0.289,-0.264,-0.616,0.075,-1.044,-0.081,0.129,-0.165,-0.519
"229","P43274","H1-4",NA,NA,-0.289,-0.264,-0.616,0.075,-1.044,-0.081,0.129,-0.165,-0.519
"230","P04075","ALDOA",NA,NA,-0.151,0.451,0.07,0.351,0.33,0.284,0.355,0.332,0.301
"231","P05064","Aldoa",NA,NA,-0.151,0.451,0.07,0.351,0.33,0.284,0.355,0.332,0.301
"232","P40939","HADHA",NA,NA,-0.303,1.364,1.139,0.397,1.777,1.418,0.22,0.042,1.139
"233","Q7Z4V0","ZNF438",NA,NA,0.05,-0.398,-0.457,0.284,-0.449,-0.206,-0.167,0.077,-0.369
"234","Q9H1E3","NUCKS1",NA,NA,-0.591,-0.975,-1.265,-0.026,-1.112,-0.834,0.737,-0.4,-1.029
"235","Q8BX10","Pgam5",NA,NA,-0.355,0.928,0.635,0.128,0.949,0.725,0.274,-0.106,0.322
"236","P07724","Alb",NA,NA,0.328,1.573,1.855,0.344,1.423,1.39,0.549,0.568,1.535
"237","P19338","NCL",NA,NA,-0.308,0.941,0.957,0.233,0.968,0.867,-0.018,0.019,0.873
"238","P07108","DBI",NA,NA,-0.003,0.572,0.684,0.268,1.248,0.699,0.439,0.212,0.732
"239","P05455","SSB",NA,NA,-0.287,0.634,0.416,0.176,0.508,0.759,0.155,-0.169,0.638
"240","Q9H1E3","NUCKS1",NA,NA,-0.331,-0.694,-1.021,0.045,-0.888,-0.75,-0.239,-0.027,-0.878
"241","P36957","DLST",NA,NA,-0.366,1.087,0.81,0.352,1.037,1.204,0.134,-0.087,0.756
"242","Q8IYR2","SMYD4",NA,NA,-0.268,-0.33,-0.149,-0.034,-0.244,-0.152,0.195,-0.061,-0.225
"243","Q9NWC5","TMEM45A",NA,NA,-0.162,0.359,0.265,0.353,0.206,0.448,0.182,0.052,0.243
"244","Q96L91","EP400",NA,NA,0.108,-2.355,-1.984,-0.185,-1.747,-0.775,-1.643,-0.163,-2.353
"245","Q8CHI8","Ep400",NA,NA,0.108,-2.355,-1.984,-0.185,-1.747,-0.775,-1.643,-0.163,-2.353
"246","Q5PSV9","Mdc1",NA,NA,0.088,0.811,0.652,0.202,0.594,0.67,0.091,-0.049,0.705
"247","Q6RT24","Cenpe",NA,NA,0.238,2.185,2.342,0.508,1.932,2.159,0.386,0.176,2.503
"248","Q9NP61","ARFGAP3",NA,NA,0.165,-0.618,-0.507,0.259,0.625,-0.497,0.803,-0.015,-0.65
"249","Q9D8S3","Arfgap3",NA,NA,0.165,-0.618,-0.507,0.259,0.625,-0.497,0.803,-0.015,-0.65
"250","P23526","AHCY",NA,NA,-0.087,0.458,0.292,0.364,0.974,0.725,0.617,0.19,0.089
"251","P50247","Ahcy",NA,NA,-0.087,0.458,0.292,0.364,0.974,0.725,0.617,0.19,0.089
"252","Q3V300","Kif22",NA,NA,-0.518,0.985,0.544,0.075,0.656,0.852,-0.203,-0.275,0.584
"253","Q5QNW6","H2BC18",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"254","Q96A08","H2BC1",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"255","Q16778","H2BC21",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"256","Q8N257","H2BC26",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"257","Q99879","H2BC14",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"258","P62807","H2BC4",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"259","P23527","H2BC17",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"260","Q99880","H2BC13",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"261","P33778","H2BC3",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"262","Q99877","H2BC15",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"263","P58876","H2BC5",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"264","Q93079","H2BC9",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"265","Q8CGP2","Hist1h2bp",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"266","P70696","H2bc1",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"267","Q64525","Hist2h2bb",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"268","Q9D2U9","H2bu2",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"269","Q6ZWY9","H2bc4",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"270","P10854","H2bc14",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"271","P10853","H2bc7",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"272","Q64478","H2bc9",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"273","Q64475","H2bc3",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"274","P07724","Alb",NA,NA,0.691,1.51,2.344,0.334,1.558,1.442,0.452,0.466,2.083
"275","P00558","PGK1",NA,NA,-0.512,1.007,0.671,0.179,1.097,0.809,-0.04,-0.136,0.665
"276","P09411","Pgk1",NA,NA,-0.512,1.007,0.671,0.179,1.097,0.809,-0.04,-0.136,0.665
"277","P09041","Pgk2",NA,NA,-0.512,1.007,0.671,0.179,1.097,0.809,-0.04,-0.136,0.665
"278","P07724","Alb",NA,NA,0.014,0.852,1.033,0.761,2.691,2.211,0.822,0.468,2.029
"279","P17844","DDX5",NA,NA,-0.114,-0.083,-0.334,0.311,-0.374,0.013,-0.052,-0.186,-0.213
"280","Q9UQ35","SRRM2",NA,NA,-0.007,-0.909,-1.142,0.087,-1.397,-0.854,-0.003,-0.106,-1.438
"281","P04406","GAPDH",NA,NA,-0.382,1.585,1.514,0.347,1.53,1.407,0.139,0.005,1.213
"282","P16858","Gapdh",NA,NA,-0.382,1.585,1.514,0.347,1.53,1.407,0.139,0.005,1.213
"283","Q5QNW6","H2BC18",NA,NA,-0.148,0.014,-0.132,0.299,0.324,0.093,0.562,-0.034,0.165
"284","P23527","H2BC17",NA,NA,-0.148,0.014,-0.132,0.299,0.324,0.093,0.562,-0.034,0.165
"285","Q93079","H2BC9",NA,NA,-0.148,0.014,-0.132,0.299,0.324,0.093,0.562,-0.034,0.165
"286","Q64525","Hist2h2bb",NA,NA,-0.148,0.014,-0.132,0.299,0.324,0.093,0.562,-0.034,0.165
"287","Q8BFW9","Slc2a12",NA,NA,-0.636,-0.498,-0.375,-0.302,-0.42,-0.643,-0.213,-0.375,-0.362
"288","Q86UU0","BCL9L",NA,NA,-0.058,-0.324,-0.539,0.059,-0.626,-0.315,-0.074,-0.216,-0.546
"289","Q67FY2","Bcl9l",NA,NA,-0.058,-0.324,-0.539,0.059,-0.626,-0.315,-0.074,-0.216,-0.546
"290","Q9UII4","HERC5",NA,NA,-0.445,-2.176,-2.445,0.017,-2.957,-2.387,-0.458,-0.501,-2.693
"291","P04075","ALDOA",NA,NA,-0.42,0.197,0.168,0.143,0.234,0.199,0.037,-0.399,0.064
"292","P05064","Aldoa",NA,NA,-0.42,0.197,0.168,0.143,0.234,0.199,0.037,-0.399,0.064
"293","P07910","HNRNPC",NA,NA,-0.231,0.258,-0.094,0.356,0.298,0.14,0.376,0.027,0.159
"294","Q9Z204","Hnrnpc",NA,NA,-0.231,0.258,-0.094,0.356,0.298,0.14,0.376,0.027,0.159
"295","P19338","NCL",NA,NA,-0.311,0.05,-0.241,0.094,-0.114,0.07,0.128,-0.104,0.029
"296","P00558","PGK1",NA,NA,0.214,0.726,0.63,0.144,1.392,0.39,0.337,0.325,0.356
"297","P09411","Pgk1",NA,NA,0.214,0.726,0.63,0.144,1.392,0.39,0.337,0.325,0.356
"298","P09041","Pgk2",NA,NA,0.214,0.726,0.63,0.144,1.392,0.39,0.337,0.325,0.356
"299","Q99832","CCT7",NA,NA,-0.396,-0.577,-0.991,-0.098,-1.252,-0.699,0.193,-0.341,-0.94
"300","P97311","Mcm6",NA,NA,-0.312,-0.248,-0.442,0.385,-0.034,-0.1,0.2,0.198,-0.45
"301","Q15185","PTGES3",NA,NA,0.281,1.596,1.22,0.481,1.649,1.624,0.562,0.339,1.315
"302","Q9R0Q7","Ptges3",NA,NA,0.281,1.596,1.22,0.481,1.649,1.624,0.562,0.339,1.315
"303","P04406","GAPDH",NA,NA,-0.249,1.641,1.363,0.548,2.006,1.419,0.188,0.015,1.526
"304","Q13564","NAE1",NA,NA,0.039,-1.335,-1.202,0.234,-1.773,-1.031,0.091,-0.228,-1.526
"305","Q03111","MLLT1",NA,NA,-0.086,-0.287,-0.522,0.3,-0.029,-0.052,0.414,0.036,-0.245
"306","P22626","HNRNPA2B1",NA,NA,-0.106,-0.621,-0.839,-0.082,-0.491,-0.605,0.005,-0.035,-1.103
"307","O88569","Hnrnpa2b1",NA,NA,-0.106,-0.621,-0.839,-0.082,-0.491,-0.605,0.005,-0.035,-1.103
"308","P40939","HADHA",NA,NA,-0.427,0.874,0.468,0.139,0.993,0.867,0.147,-0.111,0.543
"309","Q8BMS1","Hadha",NA,NA,-0.427,0.874,0.468,0.139,0.993,0.867,0.147,-0.111,0.543
"310","Q9H0C2","SLC25A31",NA,NA,0.047,0.104,0.132,0.211,0.692,0.294,0.219,-0.182,0.124
"311","P12235","SLC25A4",NA,NA,0.047,0.104,0.132,0.211,0.692,0.294,0.219,-0.182,0.124
"312","P05141","SLC25A5",NA,NA,0.047,0.104,0.132,0.211,0.692,0.294,0.219,-0.182,0.124
"313","P12236","SLC25A6",NA,NA,0.047,0.104,0.132,0.211,0.692,0.294,0.219,-0.182,0.124
"314","Q3V132","Slc25a31",NA,NA,0.047,0.104,0.132,0.211,0.692,0.294,0.219,-0.182,0.124
"315","P48962","Slc25a4",NA,NA,0.047,0.104,0.132,0.211,0.692,0.294,0.219,-0.182,0.124
"316","P51881","Slc25a5",NA,NA,0.047,0.104,0.132,0.211,0.692,0.294,0.219,-0.182,0.124
"317","P09651","HNRNPA1",NA,NA,-0.393,-0.396,-0.276,0.11,-0.322,-0.273,-0.289,-0.277,-0.448
"318","P49312","Hnrnpa1",NA,NA,-0.393,-0.396,-0.276,0.11,-0.322,-0.273,-0.289,-0.277,-0.448
"319","P52926","HMGA2",NA,NA,2.844,0.027,-0.155,2.797,-0.662,0.428,0.156,-0.148,2.444
"320","P08249","Mdh2",NA,NA,-0.362,0.522,0.078,0.148,0.557,0.414,-0.077,0.039,0.18
"321","P62937","PPIA",NA,NA,-0.296,0.312,0.184,0.275,0.562,0.406,0.109,0.581,0.342
"322","P17742","Ppia",NA,NA,-0.296,0.312,0.184,0.275,0.562,0.406,0.109,0.581,0.342
"323","Q09472","EP300",NA,NA,-0.195,-0.425,-1.392,0.109,-1.225,-1.083,-0.693,-0.623,-1.898
"324","B2RWS6","Ep300",NA,NA,-0.195,-0.425,-1.392,0.109,-1.225,-1.083,-0.693,-0.623,-1.898
"325","P04075","ALDOA",NA,NA,-0.159,-0.212,-0.222,0.277,-0.017,0.338,-0.39,0.165,0.236
"326","P05064","Aldoa",NA,NA,-0.159,-0.212,-0.222,0.277,-0.017,0.338,-0.39,0.165,0.236
"327","G5E8P1","Brd1",NA,NA,-0.391,-0.486,-0.594,0.007,-0.37,-0.298,-0.064,0.063,-0.947
"328","P14174","MIF",NA,NA,-0.014,1.011,0.742,0.381,0.832,0.911,0.341,0.344,0.924
"329","P19338","NCL",NA,NA,-0.187,0.294,0.114,0.167,0.132,0.314,-0.012,-0.222,0.209
"330","P19338","NCL",NA,NA,-0.282,0.176,-0.301,0,-0.214,0.033,-0.195,-0.069,-0.177
"331","Q9DBB4","Naa16",NA,NA,0.127,0.453,1.152,0.34,0.844,0.926,0.67,0.155,1.069
"332","P07724","Alb",NA,NA,0.102,1.492,1.973,0.338,1.494,1.534,0.221,0.128,1.808
"333","Q9NR48","ASH1L",NA,NA,0.005,-1.453,-1.608,-0.156,-1.774,-1.382,0.302,0.103,-1.671
"334","Q99MY8","Ash1l",NA,NA,0.005,-1.453,-1.608,-0.156,-1.774,-1.382,0.302,0.103,-1.671
"335","Q8TEQ0","SNX29",NA,NA,-0.506,-0.444,-0.363,0.129,-0.222,-0.115,0.428,-0.154,-0.27
"336","P07724","Alb",NA,NA,-0.231,1.696,1.774,0.29,1.623,1.632,0.67,0.235,1.929
"337","Q15233","NONO",NA,NA,-0.255,-0.187,-0.371,0.204,-0.353,-0.21,0.031,-0.268,-0.362
"338","Q09472","EP300",NA,NA,-0.438,-0.582,-0.479,0.265,-0.548,-0.274,0.052,-0.103,-0.446
"339","B2RWS6","Ep300",NA,NA,-0.438,-0.582,-0.479,0.265,-0.548,-0.274,0.052,-0.103,-0.446
"340","P04406","GAPDH",NA,NA,-0.183,1.672,1.526,0.623,1.805,1.776,0.525,0.079,1.541
"341","P04075","ALDOA",NA,NA,-0.24,-0.165,-0.217,0.016,0.212,-0.381,0.544,-0.142,-0.06
"342","P09972","ALDOC",NA,NA,-0.24,-0.165,-0.217,0.016,0.212,-0.381,0.544,-0.142,-0.06
"343","P05064","Aldoa",NA,NA,-0.24,-0.165,-0.217,0.016,0.212,-0.381,0.544,-0.142,-0.06
"344","P05063","Aldoc",NA,NA,-0.24,-0.165,-0.217,0.016,0.212,-0.381,0.544,-0.142,-0.06
"345","Q16836","HADH",NA,NA,-0.254,0.062,-0.27,0.219,0.028,0.164,-0.01,-0.121,-0.307
"346","P30041","PRDX6",NA,NA,-0.225,-0.213,-0.404,-0.115,-0.294,-0.242,0.195,-0.26,-0.631
"347","O08709","Prdx6",NA,NA,-0.225,-0.213,-0.404,-0.115,-0.294,-0.242,0.195,-0.26,-0.631
"348","P06748","NPM1",NA,NA,-0.168,0.511,0.321,0.394,0.486,0.613,0.399,-0.262,0.453
"349","Q61937","Npm1",NA,NA,-0.168,0.511,0.321,0.394,0.486,0.613,0.399,-0.262,0.453
"350","Q53TQ3","INO80D",NA,NA,-0.07,-0.641,-0.737,0.119,-0.354,-0.389,0.176,0.036,-0.596
"351","Q9BQ61","TRIR",NA,NA,-0.169,-0.128,-0.459,0.064,-0.351,-0.126,0.264,-0.213,-0.249
"352","Q9D735","Trir",NA,NA,-0.169,-0.128,-0.459,0.064,-0.351,-0.126,0.264,-0.213,-0.249
"353","P06454","PTMA",NA,NA,0.265,-0.708,-1.132,0.046,-1.107,-0.55,-0.651,0.018,-1.418
"354","P35637","FUS",NA,NA,-0.054,0.188,0.009,0.152,0.234,0.374,0.131,-0.052,0.064
"355","P56959","Fus",NA,NA,-0.054,0.188,0.009,0.152,0.234,0.374,0.131,-0.052,0.064
"356","P48735","IDH2",NA,NA,-0.446,0.348,-0.133,0.019,0.496,0.368,-0.083,-0.413,0.052
"357","P62937","PPIA",NA,NA,-0.328,0.372,0.208,0.072,0.696,0.428,0.151,0.137,0.251
"358","P17742","Ppia",NA,NA,-0.328,0.372,0.208,0.072,0.696,0.428,0.151,0.137,0.251
"359","P35579","MYH9",NA,NA,-0.208,2.539,2.13,0.802,2.361,2.509,0.55,0.349,2.079
"360","P40939","HADHA",NA,NA,-0.343,0.957,0.818,0.288,1.171,0.951,0.073,-0.196,0.751
"361","P68133","ACTA1",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"362","P62736","ACTA2",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"363","P68032","ACTC1",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"364","P63267","ACTG2",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"365","P63261","ACTG1",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"366","P60709","ACTB",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"367","P68033","Actc1",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"368","P68134","Acta1",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"369","P62737","Acta2",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"370","P63268","Actg2",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"371","P60710","Actb",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"372","P63260","Actg1",NA,NA,-0.15,0.299,0.122,0.352,0.128,0.114,0.278,-0.245,0.061
"373","Q9BTC0","DIDO1",NA,NA,-0.042,-0.369,-0.456,-0.028,-0.424,-0.332,0.195,0.089,-0.415
"374","P51859","Hdgf",NA,NA,-0.242,-0.586,-0.934,-0.005,-0.578,-0.518,0.112,-0.169,-0.793
"375","Q8CGC6","Rbm28",NA,NA,0.001,0.459,0.99,0.619,0.723,1.448,0.771,5.033,0.803
"376","Q09472","EP300",NA,NA,-0.108,0.296,0.266,0.568,0.364,0.145,0.361,0.296,-0.02
"377","B2RWS6","Ep300",NA,NA,-0.108,0.296,0.266,0.568,0.364,0.145,0.361,0.296,-0.02
"378","Q9ULL5","PRR12",NA,NA,-0.106,0.156,-0.127,0.129,-0.007,0.101,0.047,-0.147,-0.179
"379","P00558","PGK1",NA,NA,-0.17,0.625,0.584,0.194,0.762,0.572,0.077,0.123,0.531
"380","Q15596","NCOA2",NA,NA,-0.148,0.166,0.271,0.35,0.03,0.297,0.072,0.568,-0.088
"381","Q61026","Ncoa2",NA,NA,-0.148,0.166,0.271,0.35,0.03,0.297,0.072,0.568,-0.088
"382","Q08J23","NSUN2",NA,NA,-0.128,0.169,-0.15,0.087,0.3,0.177,0.138,0.012,-0.06
"383","Q1HFZ0","Nsun2",NA,NA,-0.128,0.169,-0.15,0.087,0.3,0.177,0.138,0.012,-0.06
"384","Q80X41","Vrk1",NA,NA,-0.49,-2.92,-3.457,0.099,-3.892,-2.765,-0.429,-0.451,-3.752
"385","Q6NUT2","DPY19L2",NA,NA,-0.013,-0.24,-0.2,0.043,0.058,0.002,-0.124,-0.006,0.011
"386","Q9HAF1","MEAF6",NA,NA,-0.403,-0.688,-0.898,0.071,-1.14,-0.709,-0.465,-0.412,-1.08
"387","Q2VPQ9","Meaf6",NA,NA,-0.403,-0.688,-0.898,0.071,-1.14,-0.709,-0.465,-0.412,-1.08
"388","P17096","HMGA1",NA,NA,0.553,1.703,1.874,0.211,1.562,1.849,0.901,-0.04,2.07
"389","P50990","CCT8",NA,NA,-0.17,0.255,0.021,0.129,0.442,0.185,0.044,0.029,0.066
"390","P42932","Cct8",NA,NA,-0.17,0.255,0.021,0.129,0.442,0.185,0.044,0.029,0.066
"391","O95251","KAT7",NA,NA,-0.25,-0.459,-0.662,0.011,-0.281,-0.275,0.027,-0.319,-0.563
"392","Q5SVQ0","Kat7",NA,NA,-0.25,-0.459,-0.662,0.011,-0.281,-0.275,0.027,-0.319,-0.563
"393","P78417","GSTO1",NA,NA,-0.124,1.339,1.349,0.228,1.394,1.395,0.282,0.14,1.5
"394","P62280","RPS11",NA,NA,-0.118,-0.466,-0.493,0.094,-0.605,-0.433,-0.076,-0.134,-0.52
"395","P62281","Rps11",NA,NA,-0.118,-0.466,-0.493,0.094,-0.605,-0.433,-0.076,-0.134,-0.52
"396","A2RTY3","HEATR9",NA,NA,-0.178,0.122,0.108,0.222,0.012,0.269,0.265,-0.061,0.059
"397","P07356","Anxa2",NA,NA,-0.12,-0.368,-0.296,0.227,-0.374,-0.318,0,0.517,-0.272
"398","P35914","HMGCL",NA,NA,-0.155,0.964,0.908,0.168,0.81,0.948,0.015,0.218,0.687
"399","Q9Y6N5","SQOR",NA,NA,-0.39,1.537,1.348,0.771,1.651,1.591,0.235,0.396,1.637
"400","Q9Y5B9","SUPT16H",NA,NA,-0.447,-0.339,-0.434,0.1,-0.355,-0.066,0.075,0.366,-0.179
"401","Q920B9","Supt16h",NA,NA,-0.447,-0.339,-0.434,0.1,-0.355,-0.066,0.075,0.366,-0.179
"402","P19338","NCL",NA,NA,-0.016,-2.298,-2.711,0.01,-3.423,-2.608,-0.506,-0.108,-2.938
"403","P06733","ENO1",NA,NA,-0.138,0.844,0.356,0.228,0.485,0.474,0.253,0.136,0.956
"404","P17182","Eno1",NA,NA,-0.138,0.844,0.356,0.228,0.485,0.474,0.253,0.136,0.956
"405","P09651","HNRNPA1",NA,NA,0.367,1.381,1.798,0.209,0.511,1.507,0.618,0.848,1.674
"406","Q32P51","HNRNPA1L2",NA,NA,0.367,1.381,1.798,0.209,0.511,1.507,0.618,0.848,1.674
"407","P49312","Hnrnpa1",NA,NA,0.367,1.381,1.798,0.209,0.511,1.507,0.618,0.848,1.674
"408","P49327","FASN",NA,NA,-0.25,0.515,0.373,0.188,0.46,0.731,0.107,0.044,0.473
"409","P07724","Alb",NA,NA,-0.299,1.338,1.388,0.215,1.314,1.263,0.314,0.042,1.444
"410","P06733","ENO1",NA,NA,-0.179,0.57,0.686,0.019,0.806,0.62,0.238,0.002,0.634
"411","P17182","Eno1",NA,NA,-0.179,0.57,0.686,0.019,0.806,0.62,0.238,0.002,0.634
"412","P54868","HMGCS2",NA,NA,-0.529,6.011,5.169,3.223,5.602,5.981,2.584,1.946,5.279
"413","P54869","Hmgcs2",NA,NA,-0.529,6.011,5.169,3.223,5.602,5.981,2.584,1.946,5.279
"414","P46777","RPL5",NA,NA,-0.144,-1.718,-1.977,0.187,-3.039,-1.122,0.012,0.022,-1.93
"415","P47962","Rpl5",NA,NA,-0.144,-1.718,-1.977,0.187,-3.039,-1.122,0.012,0.022,-1.93
"416","Q05823","RNASEL",NA,NA,-0.152,2.097,2.034,0.685,2.336,2.197,0.604,0.246,2.036
"417","P20700","LMNB1",NA,NA,-0.269,0.369,0.342,0.082,0.49,0.4,-0.054,-0.267,0.396
"418","P14733","Lmnb1",NA,NA,-0.269,0.369,0.342,0.082,0.49,0.4,-0.054,-0.267,0.396
"419","P08032","Spta1",NA,NA,0.025,1.017,1.103,0.432,0.94,1.104,0.446,0.309,1.141
"420","Q9H1E3","NUCKS1",NA,NA,-0.409,-0.949,-1.7,0.157,-0.676,-0.719,1.133,0.271,-1.146
"421","Q8IZ13","FAM200C",NA,NA,0.246,2.262,2.44,0.7,2.253,2.319,0.903,0.644,2.514
"422","Q5QNW6","H2BC18",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"423","Q16778","H2BC21",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"424","Q8N257","H2BC26",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"425","Q99879","H2BC14",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"426","P62807","H2BC4",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"427","P23527","H2BC17",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"428","Q99880","H2BC13",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"429","P33778","H2BC3",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"430","O60814","H2BC12",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"431","P06899","H2BC11",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"432","Q99877","H2BC15",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"433","P58876","H2BC5",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"434","Q93079","H2BC9",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"435","Q8CGP2","Hist1h2bp",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"436","P70696","H2bc1",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"437","Q64525","Hist2h2bb",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"438","Q64524","H2bc21",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"439","Q9D2U9","H2bu2",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"440","Q6ZWY9","H2bc4",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"441","P10854","H2bc14",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"442","P10853","H2bc7",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
"443","Q8CGP1","H2bc12",NA,NA,0.222,-0.647,-0.662,-0.022,-1.111,-0.689,0.276,-0.167,-0.764
